X,date,county,state,fips,cases,deaths
203,2020-09-30,Hennepin,Minnesota,27053,25787,868
204,2020-10-01,Hennepin,Minnesota,27053,25984,870
205,2020-10-02,Hennepin,Minnesota,27053,26176,871
206,2020-10-03,Hennepin,Minnesota,27053,26369,873
207,2020-10-04,Hennepin,Minnesota,27053,26566,874
208,2020-10-05,Hennepin,Minnesota,27053,26769,876
209,2020-10-06,Hennepin,Minnesota,27053,26976,877
210,2020-10-07,Hennepin,Minnesota,27053,27188,879
211,2020-10-08,Hennepin,Minnesota,27053,27406,880
212,2020-10-09,Hennepin,Minnesota,27053,27621,882
213,2020-10-10,Hennepin,Minnesota,27053,27837,883
214,2020-10-11,Hennepin,Minnesota,27053,28059,884
215,2020-10-12,Hennepin,Minnesota,27053,28288,886
216,2020-10-13,Hennepin,Minnesota,27053,28523,887
217,2020-10-14,Hennepin,Minnesota,27053,28762,889
218,2020-10-15,Hennepin,Minnesota,27053,29000,891
219,2020-10-16,Hennepin,Minnesota,27053,29240,893
220,2020-10-17,Hennepin,Minnesota,27053,29482,895
221,2020-10-18,Hennepin,Minnesota,27053,29732,897
222,2020-10-19,Hennepin,Minnesota,27053,29987,900
223,2020-10-20,Hennepin,Minnesota,27053,30244,902
224,2020-10-21,Hennepin,Minnesota,27053,30511,905
225,2020-10-22,Hennepin,Minnesota,27053,30784,907
226,2020-10-23,Hennepin,Minnesota,27053,31071,910
227,2020-10-24,Hennepin,Minnesota,27053,31383,912
228,2020-10-25,Hennepin,Minnesota,27053,31707,915
229,2020-10-26,Hennepin,Minnesota,27053,32035,917
230,2020-10-27,Hennepin,Minnesota,27053,32390,920
231,2020-10-28,Hennepin,Minnesota,27053,32785,922
232,2020-10-29,Hennepin,Minnesota,27053,33206,924
233,2020-10-30,Hennepin,Minnesota,27053,33664,927
234,2020-10-31,Hennepin,Minnesota,27053,34152,929
235,2020-11-01,Hennepin,Minnesota,27053,34681,931
236,2020-11-02,Hennepin,Minnesota,27053,35282,933
237,2020-11-03,Hennepin,Minnesota,27053,35918,935
238,2020-11-04,Hennepin,Minnesota,27053,36601,937
239,2020-11-05,Hennepin,Minnesota,27053,37307,940
